"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"crossing_anom[9]",-0.142249138225618,-0.13304255,0.632201979557094,0.774389534121,-1.182477485,0.7904712215,1.00056926096854,4305.35595071768,5551.19234426235
"crossing_anom[10]",0.305592060535432,-0.668973595,1.6362242453547,0.759700630143,-1.27843213,3.36695016,1.00052932019253,5484.72313686544,5309.83125407584
"crossing_anom[11]",3.780886252005,3.5095592,1.42518669597514,0.73028139093,1.976703555,6.539289195,1.00207635717204,5102.28138493013,3581.40384004364
"crossing_anom[12]",1.73578882178228,1.90770135,0.492206175584498,0.19930917972,0.556556467,2.183604035,1.00098760612874,3668.81003091422,2751.24570207207
"crossing_anom[13]",-0.7475487187984,-0.485665945,0.629830805375476,0.559108764207,-1.833873925,-0.05970505795,1.00029205460957,3963.24549675447,4963.29504751317
"crossing_anom[14]",-4.76912635463333,-5.1657822,1.33356456168233,0.46623351852,-6.217496585,-2.21242606,1.00102180801226,5340.79304066652,3997.8040903276
"crossing_anom[15]",3.09403563384351,3.0263318,0.822694970312295,0.68784441222,1.693506975,4.05915638,1.00086693111737,3268.98273983231,4596.82051635566
"crossing_anom[16]",-7.30085885861667,-7.4877336,0.697361122823106,0.60009443319,-8.312018755,-6.25634172,1.00118192990624,5076.02548794188,4478.15435734281
"crossing_anom[17]",8.64211253568333,8.9393819,0.91063446404945,0.666700682969998,6.701947685,9.51986751,1.0011055300697,4564.37378894551,4440.51822522303
"crossing_anom[18]",4.80191597368333,5.0464118,1.10754094131807,1.21825382847,2.913335615,5.981322755,1.0009306317254,3322.5651329729,4490.75308798052
"crossing_anom[19]",3.732533682385,3.69617365,1.20829979798832,1.11266705949,1.713784685,5.648478545,1.00173713491172,3741.24535903878,4630.11866888562
"crossing_anom[20]",-9.03569034386667,-8.99213655,0.613658087270587,0.60138385041,-10.05746375,-8.197790815,1.00019600593646,5343.66368479165,5012.46941566055
"crossing_anom[21]",-3.93404862626667,-4.0951362,1.01415756497105,1.19581497399,-4.98188125,-2.168592105,1.00014037011893,4035.59151516137,5162.8744826403
"crossing_anom[22]",1.76908333014335,1.76968315,0.908799958107026,0.47112461592,-0.0625884196500003,2.75092359,1.00013900130603,3838.84817010169,2938.67692684526
"crossing_anom[23]",-8.22260063458333,-8.3161098,0.559466745119591,0.43539210267,-8.99052719,-7.33652204,1.0007891272735,4840.42972229657,4717.39275718844
"crossing_anom[24]",8.37024841125,8.65037275,0.94035496482178,0.71833178319,6.260781925,9.396195355,1.00095217881691,2719.03234849273,3746.89547162841
"crossing_anom[25]",2.53998456394007,2.07684095,1.32989992257096,0.23585445429,1.433879845,5.129056575,0.999795115026463,5093.10665157485,2999.51014724299
"crossing_anom[26]",5.38289351896667,5.7275798,0.996853460388157,0.91339301739,3.36368405,6.409110815,1.00079955469698,4086.55379834438,4650.99471019985
"crossing_anom[27]",3.94935733806333,3.86183295,1.38488762247481,1.45888840755,1.61378565,5.77461264,1.00048273930751,5050.43293750499,4111.82404976555
"crossing_anom[28]",-9.55792004403333,-9.53826315,0.65509561327522,0.495372761310002,-10.7820765,-8.86009467,0.999815700267946,3954.50980021915,3999.8251905205
"crossing_anom[29]",-4.23104648581667,-4.4568052,0.915945453287924,0.78004834404,-5.1817283,-2.448662305,1.00008918422303,4221.26997563122,5712.88928206064
"crossing_anom[30]",0.692564988903033,1.34579395,1.5481922231134,0.764918225715,-2.961557075,2.120041615,0.999882201137931,5125.73106777717,4217.58679667045
"crossing_anom[31]",-7.57206924775,-7.6824368,0.831120049983074,0.529403842800001,-8.212724155,-6.64789448,1.00022257989951,5872.68926187187,3646.78278714043
"crossing_anom[32]",8.96640968115,9.20791325,0.624965355813484,0.292794670980001,7.55110155,9.47579414,1.00078572689747,5057.81511663453,4348.5902036043
"crossing_anom[33]",3.74594522318167,3.49027565,1.87719170086937,1.56119974248,1.96483372,7.052189645,1.00260116892678,5514.16910608809,3665.18957228234
"crossing_anom[34]",5.34170731313333,5.16415055,0.966928778849759,0.958915953870001,4.015323455,6.25643172,1.00038281420581,5385.77871738844,4179.23408419124
"crossing_anom[35]",2.0163766544065,2.13874675,1.13683426713885,1.15494806868,0.6141269945,4.59259093,1.00079377964364,2912.3602319195,4024.88241433453
"crossing_anom[36]",-9.24821494393333,-9.10631715,0.86326501116896,0.59025241548,-10.1330975,-8.471775265,0.999891853297364,5285.89263763973,4710.07008813594
"crossing_anom[37]",-3.94271966673333,-3.8784623,1.04701798176273,1.03044710433,-4.99126216,-2.768647425,1.0007316721428,4566.94007882722,4174.2787283705
"crossing_anom[38]",3.30760722405,3.2662859,1.13932821356487,1.68115750152,1.657696685,4.799507765,1.00148945754621,2428.89120298102,4489.67523594337
"crossing_anom[39]",1.45339378319417,0.71730434,1.76505602599588,1.431093934851,-0.2450936925,3.94266063,1.00172882552169,3346.57106626746,3320.86192175289
"crossing_anom[40]",3.28083136934158,3.8703329,1.60024457318633,1.66342427118,0.550819676,5.35324754,1.00225636258416,5243.302305827,4495.20625172946
"crossing_anom[41]",3.80597341816667,4.2701725,1.32744209958411,1.30916700873,1.930697505,5.60645206,1.00106861426329,4353.75700423365,3670.05694939392
"crossing_anom[42]",2.9315503518,2.7603663,0.607796284753577,0.670607408099999,1.95815173,3.840897295,1.0006019643652,4125.88683691094,5266.43072386233
"crossing_anom[43]",-10.9143557472667,-10.448671,1.80490107118099,1.1681872419,-15.5588788,-9.201615225,1.00156738148587,2304.02504352996,4856.69466333132
"crossing_anom[44]",-3.86500039704167,-3.7799612,0.681374329447328,0.50519802564,-5.27131157,-3.03527252,1.00022020250813,4538.70827968793,4024.09887718245
"crossing_anom[45]",0,0,0,0,0,0,NA,NA,NA
"crossing_anom[46]",-1.34499912670637,-1.3374942,0.546310146334146,0.69280185597,-1.994327515,-0.525351974,0.999885502437134,3889.41135971651,5357.74489391686
"crossing_anom[47]",0.542002898642347,0.741131545,0.902000121136136,0.753780015303,-1.18650308,1.766524475,1.00026140697835,3509.0385140375,4239.35855559921
"crossing_anom[48]",-2.9148170710131,-3.26036825,1.24626020562021,1.07061904089,-4.39011178,-0.4213624475,1.00001415021521,4901.32399057888,4898.91448795644
"crossing_anom[49]",8.15349061941667,8.2935139,0.576036054238862,0.63928459203,7.169952885,8.946498705,1.00051740051036,3771.94198257691,5236.36583679281
"crossing_anom[50]",-3.59842586545,-3.6806908,1.22740524124312,1.6596328182,-5.214458875,-1.904520235,0.999883557633558,4743.50619592765,4453.34906563452
"crossing_anom[51]",4.18487431698333,4.3325215,0.681227450674437,0.61168213827,3.25082952,5.09438706,1.00000346152279,5651.12303552879,5536.01848431729
"crossing_anom[52]",-0.677210460957863,-0.54261221,1.07852517966714,1.526300583864,-2.30740874,0.7974326335,1.00015085278406,5220.46611234444,5713.09031496915
"crossing_anom[53]",-4.34491531016667,-4.0922929,0.943037903446105,0.888793273410001,-5.8767506,-3.03388316,1.0003272632181,6200.46254029919,4750.67825080533
"crossing_anom[54]",0.9687910606829,1.2496385,0.774301438600836,0.62004770877,-0.467309177,1.690549495,1.000178354626,2900.16912371106,3302.93129667563
"crossing_anom[55]",0.0202345587735865,-0.19817744,1.27306649977472,1.285747718283,-1.417391445,2.33153986,0.999878718170517,5219.80481478643,3866.30903964995
"crossing_anom[56]",1.28949660280745,1.1583814,0.890166885166175,0.66974868618,0.330835801,3.15119387,0.999797488626008,6170.82718591693,4497.0882666681
"crossing_anom[57]",4.23511767856667,4.02193535,0.436230273078241,0.45193784454,3.67086241,5.084547325,0.999603331971372,4734.7065210837,5075.90912728377
"crossing_anom[58]",-2.35742399185,-2.36515645,0.697843892789327,1.02268776897,-3.319923585,-1.314413315,0.999713258181321,6014.50880861618,4445.01641207577
