Latitude & Longitude in Decimal Degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identification Information,LATITUDE,LONGITUDE,IES Project #(s),Comments (colored rows = coords in Fld Res Database),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROXIMITY,,,,,SYMBOL,;waypts
THH2,N41.791172,W073.736828,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH20,N41.789653,W073.736120,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH3,N41.791273,W073.737831,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH4,N41.791440,W073.738529,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH5,N41.793457,W073.735401,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH6,N41.792384,W073.735616,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH7,N41.792545,W073.735460,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH8,N41.791933,W073.735546,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH9,N41.791011,W073.736007,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
A. Townsend,N41.810350,W073.803117,2310,"4-poster feeder location, Tompkins Farm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
