Grid,Day.1,Day.2,Day.3,Year,Week,MNA,Sample.Size,Full.(birth.and.death),Heterogeneous.survival,Date,spec
Tea Experimental,37845,37846,NA,2003,631,NA,1,16,8,8/12/03,TS
Tea Experimental,37868,37869,NA,2003,634,NA,9,12.5,12.5,9/4/03,TS
Tea Experimental,37889,37890,NA,2003,637,NA,11,10,10,9/25/03,TS
Green Control,38202,38203,NA,2004,682,NA,31,39.8,38.7,8/3/04,TS
Green Control,38223,38224,NA,2004,685,NA,23,27.8,26.7,8/24/04,TS
Green Control,38244,38245,NA,2004,688,NA,27,26.7,26.7,9/14/04,TS
Green Experimental,38204,38205,NA,2004,682,NA,12,25.6,24.1,8/5/04,TS
Green Experimental,38225,38226,NA,2004,685,NA,16,23.5,22.4,8/26/04,TS
Green Experimental,38246,38247,NA,2004,688,NA,22,20.9,20.9,9/16/04,TS
Henry Control,38216,38217,NA,2004,684,NA,8,17.6,16.7,8/17/04,TS
Henry Control,38239,38240,NA,2004,687,NA,15,19.4,18.2,9/9/04,TS
Henry Control,38258,38259,NA,2004,690,NA,14,13.6,13.6,9/28/04,TS
Henry Experimental,38218,38219,NA,2004,684,NA,8,20.9,21.4,8/19/04,TS
Henry Experimental,38238,38239,NA,2004,687,NA,20,19.7,19.7,9/8/04,TS
Henry Experimental,38260,38261,NA,2004,690,NA,8,7.5,7.5,9/30/04,TS
Tea Control,38211,38212,NA,2004,683,NA,25,39.9,39.9,8/12/04,TS
Tea Control,38230,38231,NA,2004,686,NA,33,38.6,38.2,8/31/04,TS
Tea Control,38253,38254,NA,2004,689,NA,29,28.7,28.7,9/23/04,TS
Tea Experimental,38209,38210,NA,2004,683,NA,28,43.8,43.7,8/10/04,TS
Tea Experimental,38232,38233,NA,2004,686,NA,40,53.4,54.2,9/2/04,TS
Tea Experimental,38251,38252,NA,2004,689,NA,22,27.6,27.5,9/21/04,TS
Green Control,38582,38583,NA,2005,736,NA,5,16.8,14.8,8/18/05,TS
Green Control,38602,38603,NA,2005,739,NA,8,7.9,7.9,9/7/05,TS
Green Control,38624,38625,NA,2005,742,NA,3,10,8,9/29/05,TS
Green Experimental,38580,38581,NA,2005,736,NA,1,16,8,8/16/05,TS
Green Experimental,38603,38604,NA,2005,739,NA,2,4,4,9/8/05,TS
Green Experimental,38622,38623,NA,2005,742,NA,6,5.6,5.6,9/27/05,TS
Henry Control,38575,38576,NA,2005,735,NA,0,0,0,8/11/05,TS
Henry Control,38596,38597,NA,2005,738,NA,1,3,3,9/1/05,TS
Henry Control,38615,38616,NA,2005,741,NA,3,2,2,9/20/05,TS
Henry Experimental,38573,38574,NA,2005,735,NA,2,3,3,8/9/05,TS
Henry Experimental,38594,38595,NA,2005,738,NA,2,3.5,3.5,8/30/05,TS
Henry Experimental,38617,38618,NA,2005,741,NA,3,5,6,9/22/05,TS
Tea Control,38566,38567,NA,2005,734,NA,3,18.7,14.7,8/2/05,TS
Tea Control,38589,38590,NA,2005,737,NA,1,28,14,8/25/05,TS
Tea Control,38610,38611,NA,2005,740,NA,4,8.8,8.8,9/15/05,TS
Tea Experimental,38568,38569,NA,2005,734,NA,0,0,0,8/4/05,TS
Tea Experimental,38587,38588,NA,2005,737,NA,2,2,2,8/23/05,TS
Tea Experimental,38608,38609,NA,2005,740,NA,3,3,3,9/13/05,TS
Green Control,38944,38945,NA,2006,788,NA,20,38.13,36.39,8/15/06,TS
Green Control,38965,38966,NA,2006,791,NA,16,33.38,32.87,9/5/06,TS
Green Control,38986,38987,NA,2006,794,NA,16,35.42,33.8,9/26/06,TS
Green Experimental,38946,38947,NA,2006,788,NA,14,27.32,27.56,8/17/06,TS
Green Experimental,38967,38968,NA,2006,791,NA,11,26,26,9/7/06,TS
Green Experimental,38988,38989,NA,2006,794,NA,11,22.32,22.8,9/28/06,TS
Henry Control,38932,38933,NA,2006,786,NA,6,7.56,7,8/3/06,TS
Henry Control,38951,38952,NA,2006,789,NA,3,5,5,8/22/06,TS
Henry Control,38972,38973,NA,2006,792,NA,0,0,0,9/12/06,TS
Henry Experimental,38930,38931,NA,2006,786,NA,7,13,13,8/1/06,TS
Henry Experimental,38953,38954,NA,2006,789,NA,6,16.72,17.03,8/24/06,TS
Henry Experimental,38974,38975,NA,2006,792,NA,11,16.52,16.91,9/14/06,TS
Tea Control,38937,38938,NA,2006,787,NA,11,12.24,12.3,8/8/06,TS
Tea Control,38960,38961,NA,2006,790,NA,5,10,10,8/31/06,TS
Tea Control,38981,38982,NA,2006,793,NA,5,17.1,15,9/21/06,TS
Tea Experimental,38939,38940,NA,2006,787,NA,12,17.33,16.58,8/10/06,TS
Tea Experimental,38958,38959,NA,2006,790,NA,10,13.81,13.44,8/29/06,TS
Tea Experimental,38979,38980,NA,2006,793,NA,19,18.46,18.46,9/19/06,TS
Green Control,39296,39297,NA,2007,838,NA,28,52.12,49.49,8/2/07,TS
Green Control,39322,39323,NA,2007,842,NA,23,39.74,37.8,8/28/07,TS
Green Control,39343,39344,NA,2007,845,NA,22,29.03,28.72,9/18/07,TS
Green Experimental,39294,39295,NA,2007,838,NA,14,31.15,31.57,7/31/07,TS
Green Experimental,39324,39325,NA,2007,842,NA,16,34.84,32.79,8/30/07,TS
Green Experimental,39345,39346,NA,2007,845,NA,17,26,26,9/20/07,TS
Henry Control,39315,39316,NA,2007,841,NA,10,15.75,15.28,8/21/07,TS
Henry Control,39338,39339,NA,2007,844,NA,12,13.68,13.77,9/13/07,TS
Henry Control,39357,39358,NA,2007,847,NA,11,11,11,10/2/07,TS
Henry Experimental,39317,39318,NA,2007,841,NA,3,11,11,8/23/07,TS
Henry Experimental,39336,39337,NA,2007,844,NA,10,17.84,16.38,9/11/07,TS
Tea Control,39303,39304,NA,2007,839,NA,13,39.56,38.03,8/9/07,TS
Tea Control,39329,39330,NA,2007,843,NA,18,33.81,33.08,9/4/07,TS
Tea Control,39352,39353,NA,2007,846,NA,34,37.71,37.45,9/27/07,TS
Tea Experimental,39301,39302,NA,2007,839,NA,12,21,21,8/7/07,TS
Tea Experimental,39331,39332,NA,2007,843,NA,19,25.24,25.04,9/6/07,TS
Tea Experimental,39350,39351,NA,2007,846,NA,24,27.61,27.7,9/25/07,TS
Green Control,39660,39661,NA,2008,890,NA,15,29.93,29.93,7/31/08,TS
Green Control,39681,39682,NA,2008,893,NA,15,29.86,29.86,8/21/08,TS
Green Control,39702,39703,NA,2008,896,NA,22,30,30,9/11/08,TS
Green Control,39723,39724,NA,2008,899,NA,15,19.69,18.99,10/2/08,TS
Green Experimental,39658,39659,NA,2008,890,NA,13,21.09,21.15,7/29/08,TS
Green Experimental,39679,39680,NA,2008,893,NA,11,22.55,21.58,8/19/08,TS
Green Experimental,39700,39701,NA,2008,896,NA,10,22,22.35,9/9/08,TS
Green Experimental,39721,39722,NA,2008,899,NA,29,33.8,33,9/30/08,TS
Henry Control,39667,39668,NA,2008,891,NA,3,9.33,9.33,8/7/08,TS
Henry Control,39688,39689,NA,2008,894,NA,3,9.67,9.67,8/28/08,TS
Henry Control,39709,39710,NA,2008,897,NA,8,9.16,9.21,9/18/08,TS
Henry Experimental,39665,39666,NA,2008,891,NA,2,6,6,8/5/08,TS
Henry Experimental,39686,39687,NA,2008,894,NA,3,9.78,10.67,8/26/08,TS
Henry Experimental,39707,39708,NA,2008,897,NA,2,12.75,9,9/16/08,TS
Tea Control,39674,39675,NA,2008,892,NA,11,22.32,21.47,8/14/08,TS
Tea Control,39693,39694,NA,2008,895,NA,10,24.9,23.92,9/2/08,TS
Tea Control,39716,39717,NA,2008,898,NA,15,24.67,22.81,9/25/08,TS
Tea Experimental,39672,39673,NA,2008,892,NA,7,26.2,26.2,8/12/08,TS
Tea Experimental,39695,39696,NA,2008,895,NA,6,20.81,21.23,9/4/08,TS
Tea Experimental,39714,39715,NA,2008,898,NA,13,27.84,24.85,9/23/08,TS
Green Control,40029,40030,NA,2009,943,NA,20,29.88,29.88,8/4/09,TS
Green Control,40052,40053,NA,2009,946,NA,25,32.81,31.7,8/27/09,TS
Green Control,40073,40074,NA,2009,949,NA,14,24.35,24.35,9/17/09,TS
Green Experimental,40031,40032,NA,2009,943,NA,11,16.73,16.24,8/6/09,TS
Green Experimental,40050,40051,NA,2009,946,NA,13,14.65,14.58,8/25/09,TS
Green Experimental,40071,40072,NA,2009,949,NA,9,14.69,14.57,9/15/09,TS
Henry Control,40022,40023,NA,2009,942,NA,9,17.76,16.9,7/28/09,TS
Henry Control,40043,40044,NA,2009,945,NA,8,13.66,13.02,8/18/09,TS
Henry Control,40066,40067,NA,2009,948,NA,13,17.89,15.94,9/10/09,TS
Henry Control,40085,40086,NA,2009,951,NA,14,19.17,17.08,9/29/09,TS
Henry Experimental,40024,40025,NA,2009,942,NA,7,11.33,10.67,7/30/09,TS
Henry Experimental,40045,40046,NA,2009,945,NA,3,5.67,5.67,8/20/09,TS
Henry Experimental,40065,40066,NA,2009,948,NA,6,5.6,5.6,9/9/09,TS
Henry Experimental,40087,40088,NA,2009,951,NA,4,5,5,10/1/09,TS
Tea Control,40036,40037,NA,2009,944,NA,17,25.11,25.25,8/11/09,TS
Tea Control,40059,40060,NA,2009,947,NA,15,22.69,22.93,9/3/09,TS
Tea Control,40078,40079,NA,2009,950,NA,15,22.42,21.07,9/22/09,TS
Tea Experimental,40038,40039,NA,2009,944,NA,10,18.8,18.8,8/13/09,TS
Tea Experimental,40057,40058,NA,2009,947,NA,9,29.58,28.75,9/1/09,TS
Tea Experimental,40080,40081,NA,2009,950,NA,16,34.22,27.6,9/24/09,TS
Green Control,40409,40410,NA,2010,997,NA,16,30.51,29.29,8/19/10,TS
Green Control,40428,40429,NA,2010,1000,NA,18,21.59,21.4,9/7/10,TS
Green Control,40449,40450,NA,2010,1003,NA,17,23.73,21.51,9/28/10,TS
Green Experimental,40407,40408,NA,2010,997,NA,5,22.5,40.5,8/17/10,TS
Green Experimental,40430,40431,NA,2010,1000,NA,7,32,38.4,9/9/10,TS
Green Experimental,40451,40452,NA,2010,1003,NA,5,13.5,10.5,9/30/10,TS
Henry Control,40402,40403,NA,2010,996,NA,4,10,10,8/12/10,TS
Henry Control,40421,40422,NA,2010,999,NA,8,12.67,12.21,8/31/10,TS
Henry Control,40442,40443,NA,2010,1002,NA,5,9.8,9.8,9/21/10,TS
Henry Experimental,40400,40401,NA,2010,996,NA,6,10.2,10.2,8/10/10,TS
Henry Experimental,40423,40424,NA,2010,999,NA,2,7,7,9/2/10,TS
Henry Experimental,40444,40445,NA,2010,1002,NA,7,8.69,8.46,9/23/10,TS
Tea Control,40395,40396,NA,2010,995,NA,13,21.7,21.93,8/5/10,TS
Tea Control,40416,40417,NA,2010,998,NA,13,20.46,19.92,8/26/10,TS
Tea Control,40437,40438,NA,2010,1001,NA,8,18,16.88,9/16/10,TS
Tea Experimental,40393,40394,NA,2010,995,NA,9,24.03,24.46,8/3/10,TS
Tea Experimental,40414,40415,NA,2010,998,NA,13,19.46,19.46,8/24/10,TS
Tea Experimental,40435,40436,NA,2010,1001,NA,11,30.67,25.67,9/14/10,TS
Green Control,40759,40760,NA,2011,1047,NA,16,32.81,32.69,8/4/11,TS
Green Control,40780,40781,NA,2011,1050,NA,14,22.5,21.92,8/25/11,TS
Green Control,40801,40802,NA,2011,1053,NA,25,28.19,27.69,9/15/11,TS
Green Experimental,40757,40758,NA,2011,1047,NA,21,39.69,40.71,8/2/11,TS
Green Experimental,40778,40779,NA,2011,1050,NA,21,28.02,27.78,8/23/11,TS
Green Experimental,40799,40800,NA,2011,1053,NA,16,26.63,26.63,9/13/11,TS
Henry Control,40764,40765,NA,2011,1048,NA,9,25.5,25.5,8/9/11,TS
Henry Control,40787,40788,NA,2011,1051,NA,9,17.22,17.46,9/1/11,TS
Henry Control,40806,40807,NA,2011,1054,NA,16,20.14,19.09,9/20/11,TS
Henry Experimental,40766,40767,NA,2011,1048,NA,5,15.8,15.8,8/11/11,TS
Henry Experimental,40785,40786,NA,2011,1051,NA,10,14.74,14.79,8/30/11,TS
Henry Experimental,40808,40809,NA,2011,1054,NA,24,29.09,28.08,9/22/11,TS
Tea Control,40771,40772,NA,2011,1049,NA,14,45,40.85,8/16/11,TS
Tea Control,40792,40793,NA,2011,1052,NA,19,29.86,29.86,9/6/11,TS
Tea Control,40815,40816,NA,2011,1055,NA,26,37.96,34.5,9/29/11,TS
Tea Experimental,40773,40774,NA,2011,1049,NA,16,27.43,27.64,8/18/11,TS
Tea Experimental,40794,40795,NA,2011,1052,NA,13,34.61,31.5,9/8/11,TS
Tea Experimental,40813,40814,NA,2011,1055,NA,31,36.09,36.8,9/27/11,TS
Green Control,41128,41129,NA,2012,1100,NA,15,26.75,26.93,8/7/12,TS
Green Control,41150,41151,NA,2012,1103,NA,15,23,23,8/29/12,TS
Green Control,41170,41171,NA,2012,1106,NA,17,23.29,22.94,9/18/12,TS
Green Experimental,41130,41131,NA,2012,1100,NA,9,21.59,20.32,8/9/12,TS
Green Experimental,41151,41152,NA,2012,1103,NA,8,15.75,15.75,8/30/12,TS
Green Experimental,41172,41173,NA,2012,1106,NA,17,38.4,34.8,9/20/12,TS
Henry Control,41121,41122,NA,2012,1099,NA,5,11.25,9,7/31/12,TS
Henry Control,41142,41143,NA,2012,1102,NA,6,8.4,8.4,8/21/12,TS
Henry Control,41163,41164,NA,2012,1105,NA,14,27.19,20.63,9/11/12,TS
Henry Control,41184,41186,NA,2012,1108,NA,4,NA,NA,10/2/12,TS
Henry Experimental,41123,41124,NA,2012,1099,NA,12,20.94,19.68,8/2/12,TS
Henry Experimental,41144,41145,NA,2012,1102,NA,4,20.94,17.5,8/23/12,TS
Henry Experimental,41165,41166,NA,2012,1105,NA,17,16.8,16.8,9/13/12,TS
Henry Experimental,41185,41187,NA,2012,1108,NA,4,NA,NA,10/3/12,TS
Tea Control,41135,41136,NA,2012,1101,NA,18,20.62,20.66,8/14/12,TS
Tea Control,41156,41157,NA,2012,1104,NA,15,23.56,22.67,9/4/12,TS
Tea Control,41177,41178,NA,2012,1107,NA,19,18.82,18.82,9/25/12,TS
Tea Experimental,41137,41138,NA,2012,1101,NA,21,37.21,35.9,8/16/12,TS
Tea Experimental,41158,41159,NA,2012,1104,NA,33,39.88,39.54,9/6/12,TS
Tea Experimental,41179,41180,NA,2012,1107,NA,16,15.79,15.79,9/27/12,TS
Green Control,41492,41493,NA,2013,1152,NA,7,14.48,14.86,8/6/13,TS
Green Control,41515,41516,NA,2013,1155,NA,11,14.67,14.1,8/29/13,TS
Green Control,41536,41537,NA,2013,1158,NA,9,22.86,23.57,9/19/13,TS
Green Experimental,41494,41495,NA,2013,1152,NA,11,20.67,19.24,8/8/13,TS
Green Experimental,41513,41514,NA,2013,1155,NA,9,12.75,12.75,8/27/13,TS
Green Experimental,41534,41535,NA,2013,1158,NA,3,12.33,12.33,9/17/13,TS
Henry Control,41485,41486,NA,2013,1151,NA,4,7,7,7/30/13,TS
Henry Control,41508,41509,NA,2013,1154,NA,1,7,7,8/22/13,TS
Henry Control,41529,41530,NA,2013,1157,NA,4,11.5,11.5,9/12/13,TS
Henry Control,41548,41549,NA,2013,1160,NA,10,14.3,13.75,10/1/13,TS
Henry Experimental,41487,41488,NA,2013,1151,NA,7,8.33,8.33,8/1/13,TS
Henry Experimental,41506,41507,NA,2013,1154,NA,4,11.67,10,8/20/13,TS
Henry Experimental,41527,41528,NA,2013,1157,NA,5,16.5,16.5,9/10/13,TS
Henry Experimental,41550,41551,NA,2013,1160,NA,5,21,18,10/3/13,TS
Tea Control,41501,41502,NA,2013,1153,NA,4,8,8,8/15/13,TS
Tea Control,41522,41523,NA,2013,1156,NA,3,9.67,9.67,9/5/13,TS
Tea Control,41543,41544,NA,2013,1159,NA,11,12.34,12,9/26/13,TS
Tea Experimental,41499,41500,NA,2013,1153,NA,7,12.71,12.71,8/13/13,TS
Tea Experimental,41520,41521,NA,2013,1156,NA,10,15.54,15.28,9/3/13,TS
Tea Experimental,41541,41542,NA,2013,1159,NA,3,15.11,16.67,9/24/13,TS
Green Control,41858,41859,NA,2014,1204,NA,27,40.4,40.44,8/7/14,TS
Green Control,41871,41872,NA,2014,1206,NA,32,40.04,40.19,8/20/14,TS
Green Control,41885,41886,NA,2014,1208,NA,25,35.65,35.32,9/3/14,TS
Green Control,41900,41901,NA,2014,1210,NA,16,34,34.35,9/18/14,TS
Green Control,41915,41916,NA,2014,1212,NA,28,35.45,34.2,10/3/14,TS
Green Experimental,41856,41857,NA,2014,1204,NA,23,32.82,32.82,8/5/14,TS
Green Experimental,41869,41870,NA,2014,1206,NA,22,30,30,8/18/14,TS
Green Experimental,41883,41884,NA,2014,1208,NA,27,37.15,35.68,9/1/14,TS
Green Experimental,41898,41899,NA,2014,1210,NA,12,33.88,32.04,9/16/14,TS
Green Experimental,41912,41913,NA,2014,1212,NA,20,30.88,30.26,9/30/14,TS
Henry Control,41851,41852,NA,2014,1203,NA,6,9,9,7/31/14,TS
Henry Control,41864,41865,NA,2014,1205,NA,4,11.25,11.25,8/13/14,TS
Henry Control,41879,41880,NA,2014,1207,NA,5,15.6,13.8,8/28/14,TS
Henry Control,41892,41893,NA,2014,1209,NA,7,15.2,14.67,9/10/14,TS
Henry Control,41905,41906,NA,2014,1211,NA,5,14.4,12.8,9/23/14,TS
Henry Experimental,41849,41850,NA,2014,1203,NA,7,10.67,9.6,7/29/14,TS
Henry Experimental,41862,41863,NA,2014,1205,NA,5,10.2,9.3,8/11/14,TS
Henry Experimental,41877,41878,NA,2014,1207,NA,5,8.4,7.8,8/26/14,TS
Henry Experimental,41890,41891,NA,2014,1209,NA,4,6.5,6.5,9/8/14,TS
Henry Experimental,41905,41906,NA,2014,1211,NA,2,9,6,9/23/14,TS
Tea Control,41851,41852,NA,2014,1203,NA,16,21.96,22.01,7/31/14,TS
Tea Control,41864,41865,NA,2014,1205,NA,14,19,19,8/13/14,TS
Tea Control,41879,41880,NA,2014,1207,NA,15,22.69,22.24,8/28/14,TS
Tea Control,41892,41893,NA,2014,1209,NA,10,19.9,19.9,9/10/14,TS
Tea Control,41907,41908,NA,2014,1211,NA,16,25.22,24.19,9/25/14,TS
Tea Experimental,41849,41850,NA,2014,1203,NA,15,28.71,28.71,7/29/14,TS
Tea Experimental,41862,41863,NA,2014,1205,NA,10,29.26,27.5,8/11/14,TS
Tea Experimental,41877,41878,NA,2014,1207,NA,15,30.53,28.57,8/26/14,TS
Tea Experimental,41890,41891,NA,2014,1209,NA,23,30.48,29.92,9/8/14,TS
Tea Experimental,41907,41908,NA,2014,1211,NA,12,23.82,23.82,9/25/14,TS
Green Control,42234,42235,NA,2015,1258,NA,24,39.65,38.57,8/18/15,TS
Green Control,42257,42258,NA,2015,1261,NA,20,30.98,31.15,9/10/15,TS
Green Control,42276,42277,NA,2015,1264,NA,2,32.5,31.37,9/29/15,TS
Green Experimental,42236,42237,NA,2015,1258,NA,16,31.28,30.44,8/20/15,TS
Green Experimental,42255,42256,NA,2015,1261,NA,20,30.82,30.39,9/8/15,TS
Green Experimental,42278,42279,NA,2015,1264,NA,22,32.96,31.29,10/1/15,TS
Henry Control,42227,42228,NA,2015,1257,NA,14,25,23.75,8/11/15,TS
Henry Control,42250,42251,NA,2015,1260,NA,11,16.33,16.33,9/3/15,TS
Henry Control,42271,42272,NA,2015,1263,NA,16,16,16,9/24/15,TS
Henry Experimental,42229,42230,NA,2015,1257,NA,7,17.83,16.46,8/13/15,TS
Henry Experimental,42248,42249,NA,2015,1260,NA,5,12.5,12.5,9/1/15,TS
Henry Experimental,42269,42270,NA,2015,1263,NA,11,12.5,12.21,9/22/15,TS
Tea Control,42220,42221,NA,2015,1256,NA,16,23.84,23.38,8/4/15,TS
Tea Control,42241,42242,NA,2015,1259,NA,16,24.37,23.87,8/25/15,TS
Tea Control,42261,42262,NA,2015,1262,NA,16,24.86,24.37,9/14/15,TS
Tea Experimental,42222,42223,NA,2015,1256,NA,14,35.82,35.82,8/6/15,TS
Tea Experimental,42243,42244,NA,2015,1259,NA,17,31.6,30.79,8/27/15,TS
Tea Experimental,42263,42264,NA,2015,1262,NA,13,24.45,24.45,9/16/15,TS
Green Control,42586,42587,NA,2016,1308,NA,36,55.14,55.92,8/4/16,TS
Green Control,42605,42606,NA,2016,1311,NA,29,57.61,56.66,8/23/16,TS
Green Control,42626,42627,NA,2016,1314,NA,17,48.54,45,9/13/16,TS
Green Experimental,42584,42585,NA,2016,1308,NA,21,45.11,44.71,8/2/16,TS
Green Experimental,42607,42608,NA,2016,1311,NA,20,31.5,31.2,8/25/16,TS
Green Experimental,42627,42628,NA,2016,1314,NA,15,27.9,27.57,9/14/16,TS
Henry Control,42631,42632,NA,2016,1310,NA,25,21.67,21.67,9/18/16,TS
Henry Control,42621,42622,NA,2016,1313,NA,21,23.67,23.29,9/8/16,TS
Henry Control,42642,42643,NA,2016,1316,NA,9,9,9,9/29/16,TS
Henry Experimental,42598,42599,NA,2016,1310,NA,11,9.6,9.6,8/16/16,TS
Henry Experimental,42619,42620,NA,2016,1313,NA,14,15.5,15.51,9/6/16,TS
Henry Experimental,42640,42641,NA,2016,1316,NA,16,28.59,32.45,9/27/16,TS
Tea Control,42593,42594,NA,2016,1309,NA,24,42.03,41.56,8/11/16,TS
Tea Control,42612,42613,NA,2016,1312,NA,24,41.21,39.82,8/30/16,TS
Tea Control,42635,42636,NA,2016,1315,NA,22,21.72,21.72,9/22/16,TS
Tea Experimental,42591,42592,NA,2016,1309,NA,25,61.18,61.27,8/9/16,TS
Tea Experimental,42614,42615,NA,2016,1312,NA,24,50.6,48.86,9/1/16,TS
Tea Experimental,42633,42634,NA,2016,1315,NA,34,33.94,33.94,9/20/16,TS
Green Control,42962,42963,NA,2017,1362,NA,19,31.59,30.32,8/15/17,TS
Green Control,42985,42986,NA,2017,1365,NA,17,27.6,25.8,9/7/17,TS
Green Control,43006,43007,NA,2017,1368,NA,18,21.96,22.02,9/28/17,TS
Green Experimental,42964,42965,NA,2017,1362,NA,17,26.6,26.6,8/17/17,TS
Green Experimental,42983,42984,NA,2017,1365,NA,17,25.73,25.28,9/5/17,TS
Green Experimental,43004,43005,NA,2017,1368,NA,26,34.06,33.01,9/26/17,TS
Henry Control,42957,42958,NA,2017,1361,NA,6,26.83,23.8,8/10/17,TS
Henry Control,42976,42977,NA,2017,1364,NA,5,18,18,8/29/17,TS
Henry Control,42997,42998,NA,2017,1367,NA,18,23.97,22.99,9/19/17,TS
Henry Experimental,42955,42956,NA,2017,1361,NA,5,6.24,6,8/8/17,TS
Henry Experimental,42978,42979,NA,2017,1364,NA,1,20,10,8/31/17,TS
Henry Experimental,42999,43000,NA,2017,1367,NA,6,8.05,7.93,9/21/17,TS
Tea Control,42950,42951,NA,2017,1360,NA,7,26,26,8/3/17,TS
Tea Control,42969,42970,NA,2017,1363,NA,22,30.3,30.02,8/22/17,TS
Tea Control,42992,42993,NA,2017,1366,NA,18,25.47,25.07,9/14/17,TS
Tea Experimental,42948,42949,NA,2017,1360,NA,31,38.94,38.69,8/1/17,TS
Tea Experimental,42971,42972,NA,2017,1363,NA,21,42.41,41.61,8/24/17,TS
Tea Experimental,42990,42991,NA,2017,1366,NA,35,47.34,45,9/12/17,TS
Green Control,43319,43320,NA,2018,1413,NA,26,96.19,100.91,8/7/18,TS
Green Control,43342,43343,NA,2018,1416,NA,49,95.48,89.12,8/30/18,TS
Green Control,43363,43364,NA,2018,1419,NA,72,71.6,71.6,9/20/18,TS
Green Experimental,43321,43322,NA,2018,1413,NA,17,66.31,61.71,8/9/18,TS
Green Experimental,43340,43341,NA,2018,1416,NA,40,67.65,65.72,8/28/18,TS
Green Experimental,43361,43362,NA,2018,1419,NA,70,107.37,103.9,9/18/18,TS
Henry Control,43328,43329,NA,2018,1414,NA,18,34.22,33.72,8/16/18,TS
Henry Control,43349,43350,NA,2018,1417,NA,17,32.74,29.18,9/6/18,TS
Henry Control,43370,43371,NA,2018,1420,NA,28,NA,NA,9/27/18,TS
Henry Experimental,43326,43327,NA,2018,1414,NA,35,61.96,47.67,8/14/18,TS
Henry Experimental,43347,43348,NA,2018,1417,NA,28,44.83,43.83,9/4/18,TS
Henry Experimental,43368,43369,NA,2018,1420,NA,36,NA,NA,9/25/18,TS
Tea Control,43312,43313,NA,2018,1412,NA,15,44.78,43.65,7/31/18,TS
Tea Control,43333,43334,NA,2018,1415,NA,18,40.38,38.4,8/21/18,TS
Tea Control,43354,43355,NA,2018,1418,NA,28,61.48,56.84,9/11/18,TS
Tea Experimental,43314,43315,NA,2018,1412,NA,30,50.54,50.32,8/2/18,TS
Tea Experimental,43335,43336,NA,2018,1415,NA,35,44.57,44.66,8/23/18,TS
Tea Experimental,43356,43357,NA,2018,1418,NA,40,39.79,39.79,9/13/18,TS
Green Control,43683,43684,NA,2019,1465,NA,35,51.24,51.08,8/6/19,TS
Green Control,43704,43705,NA,2019,1468,NA,27,45.21,45.5,8/27/19,TS
Green Control,43696,43697,NA,2019,1471,NA,20,43.11,42.06,8/19/19,TS
Green Experimental,43685,43686,NA,2019,1465,NA,29,50.44,48.96,8/8/19,TS
Green Experimental,43706,43707,NA,2019,1468,NA,32,50.05,49.67,8/29/19,TS
Green Experimental,43725,43726,NA,2019,1471,NA,28,55.41,53.51,9/17/19,TS
Henry Control,43676,43677,NA,2019,1464,NA,12,26,24.92,7/30/19,TS
Henry Control,43699,43700,NA,2019,1467,NA,9,33.33,32.33,8/22/19,TS
Henry Control,43720,43721,NA,2019,1470,NA,7,19,19,9/12/19,TS
Henry Control,43739,43740,NA,2019,1473,NA,18,27.76,26.37,10/1/19,TS
Henry Experimental,43678,43679,NA,2019,1464,NA,12,35.29,30.64,8/1/19,TS
Henry Experimental,43697,43698,NA,2019,1467,NA,11,19,19,8/20/19,TS
Henry Experimental,43718,43719,NA,2019,1470,NA,10,24.75,22.46,9/10/19,TS
Henry Experimental,43741,43742,NA,2019,1473,NA,16,39.66,32.58,10/3/19,TS
Tea Control,43690,43691,NA,2019,1466,NA,8,19.69,18.38,8/13/19,TS
Tea Control,43711,43712,NA,2019,1469,NA,4,14.67,14.67,9/3/19,TS
Tea Control,43734,43735,NA,2019,1472,NA,6,14,12.83,9/26/19,TS
Tea Experimental,43691,43692,NA,2019,1466,NA,17,27.11,26.47,8/14/19,TS
Tea Experimental,43713,43714,NA,2019,1469,NA,15,34.46,32.37,9/5/19,TS
Tea Experimental,43732,43733,NA,2019,1472,NA,16,35.7,34.82,9/24/19,TS
Green Control,44049,44050,NA,2020,1517,NA,60,NA,NA,8/6/20,TS
Green Control,44068,44069,NA,2020,1520,NA,54,63.95,64.72,8/25/20,TS
Green Control,44098,44099,NA,2020,1524,NA,47,NA,NA,9/24/20,TS
Green Experimental,44047,44048,NA,2020,1517,NA,12,NA,NA,8/4/20,TS
Green Experimental,44070,44071,NA,2020,1520,NA,29,36.03,34.82,8/27/20,TS
Green Experimental,44096,44097,NA,2020,1524,NA,48,NA,NA,9/22/20,TS
Henry Control,44040,44041,NA,2020,1516,NA,38,NA,NA,7/28/20,TS
Henry Control,44061,44062,NA,2020,1519,NA,23,40.53,42.22,8/18/20,TS
Henry Control,44089,44090,NA,2020,1523,NA,39,NA,NA,9/15/20,TS
Henry Experimental,44042,44043,NA,2020,1516,NA,25,NA,NA,7/30/20,TS
Henry Experimental,44063,44064,NA,2020,1519,NA,33,44.87,42.93,8/20/20,TS
Henry Experimental,44091,44092,NA,2020,1523,NA,37,NA,NA,9/17/20,TS
Tea Control,44054,44055,NA,2020,1518,NA,16,21.53,21.91,8/11/20,TS
Tea Control,44084,44085,NA,2020,1522,NA,20,NA,NA,9/10/20,TS
Tea Experimental,44056,44057,NA,2020,1518,NA,72,94.28,92.42,8/13/20,TS
