"siteID","date","ndvi_mean","ndvi_median","ndvi_sd","evi_mean","evi_median","evi_sd","n_pixels"
"GREN","2023-05-09",0.8792,0.8792,0,0.5985,0.5985,0,1
"GREN","2023-05-25",0.8621,0.8621,0,0.6453,0.6453,0,1
"GREN","2023-06-10",0.7603,0.7603,0,0.4166,0.4166,0,1
"GREN","2023-06-26",0.6721,0.6721,0,0.3888,0.3888,0,1
"GREN","2023-07-12",0.8215,0.8215,0,0.5216,0.5216,0,1
"GREN","2023-07-28",0.8436,0.8436,0,0.5537,0.5537,0,1
"GREN","2023-08-13",0.8539,0.8539,0,0.4971,0.4971,0,1
"GREN","2023-08-29",0.8437,0.8437,0,0.4673,0.4673,0,1
"GREN","2023-09-14",0.827,0.827,0,0.4883,0.4883,0,1
"GREN","2023-09-30",0.7625,0.7625,0,0.4016,0.4016,0,1
"GREN","2023-10-16",0.5965,0.5965,0,0.2884,0.2884,0,1
"GREN","2023-11-01",0.6097,0.6097,0,0.2712,0.2712,0,1
"GREN","2023-11-17",0.5205,0.5205,0,0.1899,0.1899,0,1
"GREN","2023-12-03",0.5027,0.5027,0,0.1658,0.1658,0,1
"GREN","2023-12-19",0.5121,0.5121,0,0.172,0.172,0,1
"GREN","2024-01-01",0.4518,0.4518,0,0.2159,0.2159,0,1
"GREN","2024-01-17",0.295,0.295,0,0.2203,0.2203,0,1
"GREN","2024-02-02",0.4822,0.4822,0,0.1598,0.1598,0,1
"GREN","2024-02-18",0.443,0.443,0,0.1535,0.1535,0,1
"GREN","2024-03-05",0.4534,0.4534,0,0.1506,0.1506,0,1
"GREN","2024-03-21",0.4587,0.4587,0,0.1637,0.1637,0,1
"GREN","2024-04-06",0.4681,0.4681,0,0.2519,0.2519,0,1
"GREN","2024-04-22",0.4912,0.4912,0,0.2144,0.2144,0,1
"GREN","2024-05-08",0.8009,0.8009,0,0.6111,0.6111,0,1
"GREN","2024-05-24",0.8405,0.8405,0,0.5168,0.5168,0,1
"GREN","2024-06-09",0.7736,0.7736,0,0.5675,0.5675,0,1
"GREN","2024-06-25",0.804,0.804,0,0.5964,0.5964,0,1
"GREN","2024-07-11",0.8544,0.8544,0,0.4576,0.4576,0,1
"GREN","2024-07-27",0.8021,0.8021,0,0.5275,0.5275,0,1
"GREN","2024-08-12",0.8343,0.8343,0,0.4456,0.4456,0,1
"GREN","2024-08-28",0.7446,0.7446,0,0.3918,0.3918,0,1
"GREN","2024-09-13",0.7301,0.7301,0,0.3402,0.3402,0,1
"GREN","2024-09-29",0.673,0.673,0,0.374,0.374,0,1
"GREN","2024-10-15",0.6063,0.6063,0,0.2656,0.2656,0,1
"GREN","2024-10-31",0.5054,0.5054,0,0.2142,0.2142,0,1
"GREN","2024-11-16",0.5207,0.5207,0,0.1576,0.1576,0,1
"GREN","2024-12-02",0.4786,0.4786,0,0.1617,0.1617,0,1
"GREN","2024-12-18",0.4632,0.4632,0,0.1801,0.1801,0,1
"GREN","2025-01-01",0.4917,0.4917,0,0.1463,0.1463,0,1
"GREN","2025-01-17",0.258,0.258,0,0.1952,0.1952,0,1
"GREN","2025-02-02",0.4716,0.4716,0,0.1417,0.1417,0,1
"GREN","2025-02-18",0.4355,0.4355,0,0.1726,0.1726,0,1
"GREN","2025-03-06",0.4389,0.4389,0,0.1709,0.1709,0,1
"GREN","2025-03-22",0.4288,0.4288,0,0.1693,0.1693,0,1
"GREN","2025-04-07",0.4436,0.4436,0,0.174,0.174,0,1
"GREN","2025-04-23",0.8425,0.8425,0,0.4633,0.4633,0,1
"GREN","2025-05-09",0.8398,0.8398,0,0.4699,0.4699,0,1
"GREN","2025-05-25",0.8302,0.8302,0,0.52,0.52,0,1
"GREN","2025-06-10",0.8433,0.8433,0,0.6466,0.6466,0,1
"GREN","2025-06-26",0.9003,0.9003,0,0.4632,0.4632,0,1
"GREN","2025-07-12",0.8359,0.8359,0,0.5429,0.5429,0,1
"GREN","2025-07-28",0.8247,0.8247,0,0.5023,0.5023,0,1
"GREN","2025-08-13",0.8639,0.8639,0,0.4091,0.4091,0,1
"GREN","2025-08-29",0.8416,0.8416,0,0.4748,0.4748,0,1
"GREN","2025-09-14",0.7958,0.7958,0,0.3886,0.3886,0,1
"GREN","2025-09-30",0.7451,0.7451,0,0.3381,0.3381,0,1
"GREN","2025-10-16",0.6614,0.6614,0,0.2594,0.2594,0,1
"GREN","2025-11-01",0.5302,0.5302,0,0.2058,0.2058,0,1
"GREN","2025-11-17",0.5361,0.5361,0,0.189,0.189,0,1
"GREN","2025-12-03",0.2821,0.2821,0,0.1607,0.1607,0,1
"GREN","2025-12-19",0.5013,0.5013,0,0.1568,0.1568,0,1
"HNRY","2015-12-19",0.4829,0.4829,0,0.1715,0.1715,0,1
"HNRY","2016-01-01",0.4829,0.4829,0,0.1715,0.1715,0,1
"HNRY","2016-01-17",0.4442,0.4442,0,0.1757,0.1757,0,1
"HNRY","2016-02-02",0.4269,0.4269,0,0.1483,0.1483,0,1
"HNRY","2016-02-18",0.4521,0.4521,0,0.1797,0.1797,0,1
"HNRY","2016-03-05",0.4447,0.4447,0,0.2296,0.2296,0,1
"HNRY","2016-03-21",0.4329,0.4329,0,0.2066,0.2066,0,1
"HNRY","2016-04-06",0.46,0.46,0,0.1849,0.1849,0,1
"HNRY","2016-04-22",0.4962,0.4962,0,0.2426,0.2426,0,1
"HNRY","2016-05-08",0.7388,0.7388,0,0.5046,0.5046,0,1
"HNRY","2016-05-24",0.8959,0.8959,0,0.6941,0.6941,0,1
"HNRY","2016-06-09",0.9153,0.9153,0,0.6821,0.6821,0,1
"HNRY","2016-06-25",0.8552,0.8552,0,0.6961,0.6961,0,1
"HNRY","2016-07-11",0.926,0.926,0,0.742,0.742,0,1
"HNRY","2016-07-27",0.9188,0.9188,0,0.6704,0.6704,0,1
"HNRY","2016-08-12",0.9047,0.9047,0,0.6082,0.6082,0,1
"HNRY","2016-08-28",0.8958,0.8958,0,0.555,0.555,0,1
"HNRY","2016-09-13",0.8605,0.8605,0,0.5528,0.5528,0,1
"HNRY","2016-09-29",0.8338,0.8338,0,0.4818,0.4818,0,1
"HNRY","2016-10-15",0.6107,0.6107,0,0.3524,0.3524,0,1
"HNRY","2016-10-31",0.5551,0.5551,0,0.2522,0.2522,0,1
"HNRY","2016-11-16",0.4834,0.4834,0,0.2261,0.2261,0,1
"HNRY","2016-12-02",0.48,0.48,0,0.1578,0.1578,0,1
"HNRY","2016-12-18",0.4859,0.4859,0,0.2385,0.2385,0,1
"HNRY","2017-01-01",0.4798,0.4798,0,0.1789,0.1789,0,1
"HNRY","2017-01-17",0.418,0.418,0,0.2581,0.2581,0,1
"HNRY","2017-02-02",0.0881,0.0881,0,0.0555,0.0555,0,1
"HNRY","2017-02-18",0.4321,0.4321,0,0.1893,0.1893,0,1
"HNRY","2017-03-06",0.4223,0.4223,0,0.1863,0.1863,0,1
"HNRY","2017-03-22",0.4633,0.4633,0,0.1661,0.1661,0,1
"HNRY","2017-04-07",0.445,0.445,0,0.1847,0.1847,0,1
"HNRY","2017-04-23",0.4656,0.4656,0,0.2432,0.2432,0,1
"HNRY","2017-05-09",0.8312,0.8312,0,0.5262,0.5262,0,1
"HNRY","2017-05-25",0.9073,0.9073,0,0.7581,0.7581,0,1
"HNRY","2017-06-10",0.9106,0.9106,0,0.7194,0.7194,0,1
"HNRY","2017-06-26",0.9294,0.9294,0,0.6328,0.6328,0,1
"HNRY","2017-07-12",0.929,0.929,0,0.6453,0.6453,0,1
"HNRY","2017-07-28",0.9195,0.9195,0,0.6933,0.6933,0,1
"HNRY","2017-08-13",0.9174,0.9174,0,0.6774,0.6774,0,1
"HNRY","2017-08-29",0.884,0.884,0,0.5951,0.5951,0,1
"HNRY","2017-09-14",0.8741,0.8741,0,0.5517,0.5517,0,1
"HNRY","2017-09-30",0.826,0.826,0,0.4775,0.4775,0,1
"HNRY","2017-10-16",0.7856,0.7856,0,0.4019,0.4019,0,1
"HNRY","2017-11-01",0.5261,0.5261,0,0.2263,0.2263,0,1
"HNRY","2017-11-17",0.5369,0.5369,0,0.1982,0.1982,0,1
"HNRY","2017-12-03",0.4524,0.4524,0,0.1874,0.1874,0,1
"HNRY","2017-12-19",0.4818,0.4818,0,0.2486,0.2486,0,1
"HNRY","2018-01-01",0.4863,0.4863,0,0.1846,0.1846,0,1
"HNRY","2018-01-17",0.4706,0.4706,0,0.2067,0.2067,0,1
"HNRY","2018-02-02",0.4169,0.4169,0,0.194,0.194,0,1
"HNRY","2018-02-18",0.439,0.439,0,0.1515,0.1515,0,1
"HNRY","2018-03-06",0.0629,0.0629,0,0.0445,0.0445,0,1
"HNRY","2018-03-22",0.4337,0.4337,0,0.1673,0.1673,0,1
"HNRY","2018-04-07",0.4164,0.4164,0,0.203,0.203,0,1
"HNRY","2018-04-23",0.4418,0.4418,0,0.2277,0.2277,0,1
"HNRY","2018-05-09",0.8554,0.8554,0,0.6884,0.6884,0,1
"HNRY","2018-05-25",0.9082,0.9082,0,0.6622,0.6622,0,1
"HNRY","2018-06-10",0.9389,0.9389,0,0.6698,0.6698,0,1
"HNRY","2018-06-26",0.9208,0.9208,0,0.7447,0.7447,0,1
"HNRY","2018-07-12",0.9238,0.9238,0,0.6046,0.6046,0,1
"HNRY","2018-07-28",0.9047,0.9047,0,0.7068,0.7068,0,1
"HNRY","2018-08-13",0.8657,0.8657,0,0.6462,0.6462,0,1
"HNRY","2018-08-29",0.8891,0.8891,0,0.5072,0.5072,0,1
"HNRY","2018-09-14",0.9113,0.9113,0,0.517,0.517,0,1
"HNRY","2018-09-30",0.8274,0.8274,0,0.555,0.555,0,1
"HNRY","2018-10-16",0.7846,0.7846,0,0.362,0.362,0,1
"HNRY","2018-11-01",0.5366,0.5366,0,0.2124,0.2124,0,1
"HNRY","2018-11-17",0.4732,0.4732,0,0.1957,0.1957,0,1
"HNRY","2018-12-03",0.4852,0.4852,0,0.1813,0.1813,0,1
"HNRY","2018-12-19",0.5066,0.5066,0,0.1782,0.1782,0,1
"HNRY","2019-01-01",0.4526,0.4526,0,0.2025,0.2025,0,1
"HNRY","2019-01-17",0.4144,0.4144,0,0.1797,0.1797,0,1
"HNRY","2019-02-02",0.3954,0.3954,0,0.1484,0.1484,0,1
"HNRY","2019-02-18",0.0945,0.0945,0,0.0712,0.0712,0,1
"HNRY","2019-03-06",0.4136,0.4136,0,0.1734,0.1734,0,1
"HNRY","2019-03-22",0.4202,0.4202,0,0.2097,0.2097,0,1
"HNRY","2019-04-07",0.4371,0.4371,0,0.2182,0.2182,0,1
"HNRY","2019-04-23",0.4605,0.4605,0,0.2287,0.2287,0,1
"HNRY","2019-05-09",0.8937,0.8937,0,0.5785,0.5785,0,1
"HNRY","2019-05-25",0.8914,0.8914,0,0.7143,0.7143,0,1
"HNRY","2019-06-10",0.9072,0.9072,0,0.6744,0.6744,0,1
"HNRY","2019-06-26",0.9249,0.9249,0,0.7138,0.7138,0,1
"HNRY","2019-07-12",0.9079,0.9079,0,0.689,0.689,0,1
"HNRY","2019-07-28",0.9096,0.9096,0,0.6412,0.6412,0,1
"HNRY","2019-08-13",0.8857,0.8857,0,0.5403,0.5403,0,1
"HNRY","2019-08-29",0.8908,0.8908,0,0.596,0.596,0,1
"HNRY","2019-09-14",0.8707,0.8707,0,0.5,0.5,0,1
"HNRY","2019-09-30",0.7832,0.7832,0,0.4454,0.4454,0,1
"HNRY","2019-10-16",0.6598,0.6598,0,0.3078,0.3078,0,1
"HNRY","2019-11-01",0.5312,0.5312,0,0.2041,0.2041,0,1
"HNRY","2019-11-17",0.5058,0.5058,0,0.2344,0.2344,0,1
"HNRY","2019-12-03",0.3026,0.3026,0,0.1726,0.1726,0,1
"HNRY","2019-12-19",0.4981,0.4981,0,0.1821,0.1821,0,1
"HNRY","2020-01-01",0.4673,0.4673,0,0.1905,0.1905,0,1
"HNRY","2020-01-17",0.4596,0.4596,0,0.2048,0.2048,0,1
"HNRY","2020-02-02",0.4392,0.4392,0,0.193,0.193,0,1
"HNRY","2020-02-18",0.443,0.443,0,0.1866,0.1866,0,1
"HNRY","2020-03-05",0.4383,0.4383,0,0.1857,0.1857,0,1
"HNRY","2020-03-21",0.4413,0.4413,0,0.2152,0.2152,0,1
"HNRY","2020-04-06",0.5109,0.5109,0,0.2089,0.2089,0,1
"HNRY","2020-04-22",0.4617,0.4617,0,0.2255,0.2255,0,1
"HNRY","2020-05-08",0.6752,0.6752,0,0.4732,0.4732,0,1
"HNRY","2020-05-24",0.8924,0.8924,0,0.6518,0.6518,0,1
"HNRY","2020-06-09",0.9137,0.9137,0,0.714,0.714,0,1
"HNRY","2020-06-25",0.9256,0.9256,0,0.6739,0.6739,0,1
"HNRY","2020-07-11",0.9368,0.9368,0,0.6324,0.6324,0,1
"HNRY","2020-07-27",0.9051,0.9051,0,0.7147,0.7147,0,1
"HNRY","2020-08-12",0.9119,0.9119,0,0.5815,0.5815,0,1
"HNRY","2020-08-28",0.9105,0.9105,0,0.5513,0.5513,0,1
"HNRY","2020-09-13",0.8627,0.8627,0,0.5802,0.5802,0,1
"HNRY","2020-09-29",0.8751,0.8751,0,0.5275,0.5275,0,1
"HNRY","2020-10-15",0.6424,0.6424,0,0.367,0.367,0,1
"HNRY","2020-10-31",0.5743,0.5743,0,0.2526,0.2526,0,1
"HNRY","2020-11-16",0.4447,0.4447,0,0.1224,0.1224,0,1
"HNRY","2020-12-02",0.5035,0.5035,0,0.2072,0.2072,0,1
"HNRY","2020-12-18",0.4568,0.4568,0,0.2265,0.2265,0,1
"HNRY","2021-01-01",0.372,0.372,0,0.1543,0.1543,0,1
"HNRY","2021-01-17",0.4615,0.4615,0,0.2046,0.2046,0,1
"HNRY","2021-02-02",0.1722,0.1722,0,0.1326,0.1326,0,1
"HNRY","2021-02-18",0.1021,0.1021,0,0.0806,0.0806,0,1
"HNRY","2021-03-06",0.4161,0.4161,0,0.2084,0.2084,0,1
"HNRY","2021-03-22",0.4178,0.4178,0,0.2156,0.2156,0,1
"HNRY","2021-04-07",0.4506,0.4506,0,0.2491,0.2491,0,1
"HNRY","2021-04-23",0.5552,0.5552,0,0.3444,0.3444,0,1
"HNRY","2021-05-09",0.8678,0.8678,0,0.6275,0.6275,0,1
"HNRY","2021-05-25",0.8626,0.8626,0,0.7164,0.7164,0,1
"HNRY","2021-06-10",0.9219,0.9219,0,0.6548,0.6548,0,1
"HNRY","2021-06-26",0.9386,0.9386,0,0.6612,0.6612,0,1
"HNRY","2021-07-12",0.9234,0.9234,0,0.7126,0.7126,0,1
"HNRY","2021-07-28",0.8941,0.8941,0,0.6286,0.6286,0,1
"HNRY","2021-08-13",0.8564,0.8564,0,0.6288,0.6288,0,1
